REGISTRY_CODE,IDENTIFIER_IN_REG,INSTALLATION_NAME,INSTALLATION_IDENTIFIER,PERMIT_IDENTIFIER,MAIN_ACTIVITY_TYPE_CODE,Comment,PRTR_ID,tot,bio,est_bio,Verified,ALLOCATED_2015,ALLOCATED_RESERVE_2015,ALLOCATED_TRANSITIONAL_2015,,ACCOUNT_CLOSURE
PT,139-Cerâmica Moderna do Olival Lda,Cerâmica Moderna do Olival Lda,121,136,32,,,,,,-1,3194,0,0,,OPEN
ES,Cerámica Santa Lucia S.L.,Cerámica Santa Lucia S.L.,121,ES012308000131,8,,,,,,-1,0,0,0,,OPEN
PT,140-Tijolar - Cerâmica do Olival S.A,Tijolar - Cerâmica do Olival S.A,122,185,32,,,,,,-1,0,0,0,,OPEN
SE,Härnösands KVV,Härnösands KVV,123,22-563-011301-2004,1,,,,,,-1,25520,0,0,,OPEN
BG,Keramichna kashta Straldja EOOD,Keramichna kashta Straldja EOOD,123,BG-P64,32,,,,,,-1,2859,0,0,,OPEN
PT,142-Cerâmica Avelar S.A.,Cerâmica Avelar S.A.,124,137,32,,,,,,-1,0,0,0,,OPEN
ES,Cerámicas Alcalá Villalta S.A,Cerámicas Alcalá Villalta S.A,124,ES012308000134,32,,,,,,-1,0,0,0,,OPEN
ES,Fabricación de Ladrillos A.G.-2 S.L.,Fabricación de Ladrillos A.G.-2 S.L.,125,ES012908000136,32,,,,,,-1,-1,-1,-1,,OPEN
BG,KERAM INVEST AD,KERAM INVEST AD-Sliven,125,BG-P9,32,,,,,,-1,12205,0,0,,OPEN
GR,VASILIKOS,KERAMOURGIKI VASSILIKOU S.A.,125,11-sep,8,,,,,,-1,0,0,0,,OPEN
RO,Operator Account,Centrala termica SC Facos SA,126,RO-140-2013,20,,,,,,-1,3666,0,0,,OPEN
PT,144-CT - Cobert Telhas S.A.,Unidade Industrial de Bustos,126,80,32,,,,,,-1,0,0,0,,OPEN
BG,VMZ  EAD Sopot-Sopot,VMZ  EAD Sopot-Sopot,126,BG-P27,20,,,,,,-1,6305,0,0,,OPEN
BG,VMZ EAD Sopot-Iganovo,VMZ EAD  Sopot -Iganovo,127,BG-P26,20,,,,,,-1,0,0,0,,OPEN
PL,CIEP?OWNIA,CIEP?OWNIA,128,PL-0165-05,20,,,,,,-1,15893,0,0,,OPEN
PT,AMFIRI S.A.,Unidade Industrial do Ramalhal,128,82,32,,,,,,-1,7202,0,0,,OPEN
PL,Centralna Ciep?ownia w D?blinie,CENTRALNA CIEP?OWNIA W D?BLINIE,130,PL-0168-05,1,,,,,,-1,15122,0,0,,OPEN
AT,EVN Baxter Krems,EVN Baxter Krems,130,ICH115,1,,,,,,-1,-1,-1,-1,,OPEN
BG,NEOCHIM PLC,NEOCHIM,130,BG-P144,99,,,,,,-1,515302,0,0,,OPEN
